@relation AllCandidas_TRAIN_V2

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute culture_day numeric
@attribute class numeric

@data
85360.0,7249.0,6026.0,42530.0,3177.0,26650.0,7929.0,2,6
45920.0,30220.0,29130.0,24730.0,458.6,1550.0,4742.0,1,5
30120.0,41510.0,23080.0,23880.0,366.7,1228.0,3616.0,2,3
17070.0,49560.0,15910.0,17260.0,240.1,720.0,2269.0,2,2
46440.0,30460.0,29110.0,26050.0,460.4,1583.0,4769.0,1,5
92980.0,7305.0,6026.0,72330.0,3157.0,23960.0,7575.0,1,6
77810.0,7277.0,11900.0,43410.0,2106.0,13870.0,7520.0,1,6
35700.0,30060.0,27150.0,19490.0,469.0,1629.0,4555.0,2,2
9562.0,50170.0,14060.0,28230.0,207.3,913.7,2227.0,2,4
11710.0,59110.0,12650.0,31330.0,151.2,591.7,1789.0,1,1
34010.0,39390.0,24520.0,27700.0,406.0,1420.0,3992.0,2,3
48500.0,22810.0,28350.0,26860.0,643.9,2469.0,5576.0,2,3
46460.0,29640.0,29550.0,26100.0,478.9,1769.0,5034.0,2,1
11540.0,56520.0,13760.0,30930.0,178.9,733.9,2037.0,2,1
11990.0,62520.0,10350.0,24900.0,162.1,478.8,1443.0,1,2
39860.0,31850.0,27440.0,16870.0,403.0,1355.0,4304.0,2,1
53520.0,20300.0,27760.0,27350.0,713.3,2918.0,5909.0,2,3
28910.0,57970.0,17640.0,39630.0,224.2,671.0,2421.0,1,1
26650.0,43360.0,22040.0,19790.0,298.5,975.6,3235.0,2,4
30050.0,50750.0,18680.0,26810.0,258.3,840.4,2703.0,1,1
37180.0,30110.0,27190.0,21920.0,483.2,1749.0,4683.0,2,2
47440.0,24270.0,27750.0,21000.0,605.1,2379.0,5396.0,2,3
81540.0,7305.0,6797.0,49130.0,2577.0,18870.0,7784.0,1,6
86590.0,7277.0,6014.0,46730.0,3277.0,28990.0,7928.0,2,6
15410.0,53170.0,15030.0,19960.0,226.0,679.4,2134.0,2,2
33240.0,30740.0,27030.0,14220.0,333.7,1084.0,3954.0,1,2
27540.0,49560.0,20110.0,26130.0,276.6,852.5,2883.0,1,5
7357.0,58690.0,8254.0,18280.0,127.6,428.5,1175.0,1,2
29100.0,57170.0,17070.0,40580.0,242.4,806.7,2482.0,1,5
30240.0,42780.0,23330.0,29110.0,369.1,1272.0,3690.0,2,3
31590.0,32000.0,23910.0,10980.0,301.5,921.3,3401.0,1,2
34470.0,31790.0,26800.0,15040.0,331.3,1121.0,3970.0,1,2
58360.0,33040.0,29450.0,32250.0,426.1,1572.0,4806.0,1,1
37890.0,29960.0,26850.0,21500.0,503.0,1858.0,4749.0,2,2
27430.0,44790.0,22260.0,27700.0,345.0,1146.0,3430.0,2,3
85890.0,7249.0,6026.0,42420.0,3153.0,26700.0,7924.0,2,6
17150.0,50530.0,18010.0,30430.0,283.7,978.9,2754.0,2,3
7723.0,56390.0,8823.0,16570.0,138.5,446.5,1250.0,1,2
26910.0,46120.0,22160.0,34320.0,344.4,1184.0,3454.0,2,3
19390.0,57790.0,16590.0,33420.0,235.9,711.9,2341.0,2,1
64770.0,30450.0,28970.0,45320.0,504.2,2035.0,5237.0,1,1
86950.0,7193.0,6072.0,39660.0,2727.0,23130.0,7850.0,2,6
23670.0,50320.0,19030.0,23390.0,263.0,820.0,2723.0,2,1
25320.0,48670.0,19780.0,22720.0,274.2,865.6,2856.0,2,1
13660.0,58970.0,16600.0,55080.0,226.6,809.9,2433.0,2,4
46220.0,34330.0,28700.0,27810.0,389.6,1325.0,4434.0,1,1
52500.0,21360.0,27590.0,24930.0,688.1,2836.0,5810.0,2,3
33340.0,31410.0,27160.0,15800.0,342.0,1115.0,4006.0,1,2
51500.0,27620.0,29130.0,30910.0,531.0,1921.0,5137.0,1,5
28350.0,48340.0,20410.0,24100.0,276.0,846.9,2909.0,1,5
87370.0,7129.0,8891.0,37850.0,2331.0,15250.0,7708.0,2,6
47090.0,25580.0,27780.0,20560.0,579.9,2218.0,5244.0,2,3
14220.0,58320.0,14560.0,27670.0,207.3,613.3,2021.0,2,4
45430.0,30000.0,29090.0,24670.0,474.5,1616.0,4806.0,1,5
16250.0,58370.0,16670.0,34990.0,222.5,673.7,2315.0,2,4
54540.0,23250.0,27900.0,29390.0,644.5,2725.0,5754.0,2,5
27350.0,44260.0,21720.0,35350.0,353.4,1307.0,3522.0,2,3
58840.0,32650.0,29740.0,35690.0,432.8,1593.0,4866.0,1,1
47580.0,33070.0,27380.0,25110.0,413.9,1492.0,4443.0,1,5
72560.0,13210.0,21670.0,32650.0,1036.0,5171.0,6537.0,1,6
31950.0,46580.0,22310.0,40080.0,365.5,1287.0,3573.0,2,5
